CO,O3,SO2,HCHO,NO2,CO_N,NO2_N,SO2_N,O3_N,AQI,Category,Hotspot
0.0426485842374552,0.109546219438305,8.690094598152734e-05,0.0002802751166952925,3.519126419146613e-05,0.7456487488564424,0.15263946925448968,0.040842109179789574,0.6808566666413218,205.0,Poor,Hotspot
0.0415659584167062,0.1118969011878349,0.0002492000534076075,0.00012417253054011282,1.7269604918884596e-05,0.7267206038041569,0.07490561619813885,0.117120195573549,0.6954667312197793,201.0,Poor,Normal
0.0350134134239059,0.108812175662695,-3.857822796246989e-05,0.00012257546445872225,1.014754793588914e-05,0.6121588413666559,0.04401422815450382,-0.018131174299770424,0.6762944042392668,166.0,Moderate,Normal
0.0386655073500578,0.1103571841479939,5.2269367646688806e-05,9.162574307544456e-05,8.736906231126029e-06,0.676010416171097,0.037895675551454545,0.024565799555719692,0.685897011546273,178.0,Moderate,Normal
0.0463178689247551,0.117992455467797,0.000882112192157393,0.00015372614918757657,0.00015753886328966917,0.8098008792308065,0.6833130048599395,0.41457917464528116,0.733352098598647,337.0,Very Poor,Normal
0.0372537301841987,0.1093181325480314,8.034022547212227e-06,0.0001338988490770749,1.76279463309775e-05,0.6513275363942244,0.07645989519920496,0.0037758671360825376,0.6794390505828897,178.0,Moderate,Normal
0.040836463180332,0.1127438625970965,9.840094577939295e-06,0.00012014896293203008,2.464494777375515e-05,0.7139664357579069,0.1068956127158068,0.0046246932361022,0.7007308044560854,193.0,Moderate,Normal
0.0399770008171898,0.1216150097814559,0.0001930522141201484,0.00014991680481591724,4.980907065954983e-05,0.698939980666266,0.21604310854444223,0.09073157394824298,0.7558671636312108,223.0,Poor,Normal
0.0494131247358203,0.1275996226349697,0.00020245513487354136,0.00017886585691987724,3.5033946633857146e-05,0.8639169457820726,0.15195711614642285,0.09515080220498277,0.7930630027891017,239.0,Poor,Normal
0.0441184617707489,0.1114526251635253,5.645111421545845e-05,9.913020997071872e-05,1.301043388528046e-05,0.7713474294403126,0.05643178125727631,0.02653115618095373,0.6927054465809201,194.0,Moderate,Normal
0.0131103713258191,0.1377628980377441,0.00012323903336590154,9.567297314451204e-05,1.7017929244143235e-06,0.22921586146240852,0.007381399183341647,0.05792045183273179,0.8562302562860407,143.0,Moderate,Normal
0.0416909688006031,0.1141079993621959,0.0003370506128206025,0.00013852361462238536,3.398406242504785e-05,0.7289062293768089,0.14740332212699167,0.15840860847314897,0.7092092495862847,218.0,Poor,Normal
0.036627208000402,0.1146989920477542,0.0002735891836469685,0.0001400729510119921,1.4331897328359387e-05,0.640373703088111,0.062163529838212266,0.12858271199135454,0.7128824143195072,191.0,Moderate,Normal
0.0154715685342818,0.1504257665742753,0.0002503455744555374,1.650558627667378e-05,-8.577539484007955e-07,0.2704979761157551,-0.003720443423757142,0.11765857286252863,0.9349330951982998,162.0,Moderate,Normal
0.0389763498772391,0.1162658319159378,-2.790699686281432e-05,0.00012460690201454864,1.4008926362585558e-05,0.6814450477216693,0.060762667495441354,-0.013115859670772658,0.7226207090345796,183.0,Moderate,Normal
0.0384230594986462,0.1092391589278787,3.895316779743426e-05,0.0001551989714506151,1.7834821922005665e-05,0.6717715665046825,0.07735720256061271,0.0183073902603967,0.6789482101317498,182.0,Moderate,Normal
0.0379258439573936,0.1143667548875168,0.0003488667067588635,9.479535971238468e-05,2.5710036251179954e-05,0.6630784726335528,0.11151535411011053,0.16396199104285875,0.7108174787460708,205.0,Poor,Normal
0.0139644854838903,0.136286831382987,-5.326624902766539e-05,2.429340980774392e-05,3.451982518707144e-06,0.24414881093150362,0.0149727152927632,-0.02503431848541926,0.8470561393931767,136.0,Moderate,Normal
0.0473070459160722,0.1310685540201188,0.000433282344888323,0.00021526218258497397,2.1148310044464252e-05,0.8270952067955047,0.09172920879606314,0.20363604372460836,0.8146232635795732,239.0,Poor,Normal
0.0379987902085355,0.1093032507300206,0.00013849563787513358,7.679461370883874e-05,9.86235001874405e-06,0.6643538322233314,0.04277720357736262,0.06509082149949447,0.6793465564278531,181.0,Moderate,Normal
0.0468034545085829,0.1299564547438548,0.00011262435319822683,0.00018205519976751227,2.405758213494258e-05,0.8182906401341928,0.10434795830706246,0.05293171527273079,0.807711293361945,224.0,Poor,Normal
0.040106065578229,0.1099734220853915,3.1156005662600595e-05,0.00012033884923003232,1.0443898695209474e-05,0.701196491153332,0.045299627348170474,0.014642843878230833,0.6835118360462273,181.0,Moderate,Normal
0.040043264455105,0.1109162031030179,1.54596771751092e-05,5.7055892029864086e-05,1.1009150639678492e-05,0.7000985044388499,0.047751365266120636,0.007265810699049579,0.6893714516890597,182.0,Moderate,Normal
